Region,Crime_Rate,Education_Level,Employment_Rate,Median_Income,Poverty_Rate,Population_Density
Region_1,1176,76.49200115905583,73.31534429175198,116664,14.655299820425768,1523
Region_2,910,85.36150478222223,46.08809555626374,21401,19.71262337897472,3293
Region_3,1344,88.38897507214193,63.91170115240361,105179,9.634319477062787,4528
Region_4,1180,54.36450897948377,65.30537774233754,35193,19.99428287426245,2231
Region_5,1145,75.30519781796735,51.62756791826901,112389,26.53784268067234,1499
Region_6,1094,96.60071711284671,43.998269717965094,64864,26.715990995585642,3146
Region_7,171,66.03210960797571,78.83618152358463,40307,23.10861015823849,3306
Region_8,516,79.69415487789495,46.10175260621975,39611,23.64383447690315,3206
Region_9,1288,68.46152407549481,69.71453752808874,63791,18.948186128767517,1640
Region_10,380,72.71339861095498,86.82245869418303,31950,19.61670225414562,4289
Region_11,137,77.43015589690766,83.80525962990212,96240,8.341264535262951,4031
Region_12,1446,77.44609899444886,53.88763118746306,97403,16.096479710532527,1485
Region_13,1173,60.08652311651179,82.57243187756328,22745,16.269407097159096,273
Region_14,921,84.22857739399166,40.01662530602447,75243,28.962445891693505,269
Region_15,180,54.39340556213284,40.88439048066286,23866,15.777171565582236,4324
Region_16,1382,56.94123867210102,70.12765819214324,52245,18.73356612256894,1704
Region_17,819,50.13554497071648,58.23991095722647,64724,18.33128498197756,4578
Region_18,393,55.834803207084065,59.32304205795735,91354,20.91904292610818,314
Region_19,1487,73.65831005259462,68.22205453394412,71374,23.705820783297398,1003
Region_20,855,80.30509405279193,49.589122779593026,50116,10.626046904271803,4574
Region_21,435,89.71447249832312,50.58776753327392,101029,18.218110477460893,3783
Region_22,1265,55.334962505671804,64.23007935094324,113574,25.647942682900762,2824
Region_23,1005,92.53637300082273,77.71267721719315,40447,16.57786784593779,3174
Region_24,326,87.2987262774359,70.97488757037938,50431,11.961438659339326,529
Region_25,1234,70.42591464679585,54.86775241184195,37908,21.367726883907476,3564
Region_26,509,96.64690335499773,61.51685887544606,49336,25.594184894978074,1403
Region_27,1387,99.54647382286953,48.53323792749992,60992,6.578507323184783,3372
Region_28,71,60.25009050266186,43.73149071685408,75350,24.41976208518068,3928
Region_29,302,68.96142924819003,79.13480203720746,89561,25.54119832404428,939
Region_30,797,96.32247117948556,53.26937045940973,71955,16.53807318971517,3904
Region_31,906,86.07982753756386,48.88831939256241,81240,29.582641420461684,974
Region_32,524,52.404732198204385,74.58090277846597,40093,24.667708517682726,2220
Region_33,1132,89.07572408757075,70.9025837143593,26155,24.341564122391645,1952
Region_34,560,91.3970443588746,71.6594813006732,66607,23.695964360301794,4923
Region_35,749,87.52509623826568,51.44473024233068,53487,8.765202580456851,2445
Region_36,1025,89.97685654597578,51.63227692813405,75668,10.43077216132527,78
Region_37,239,91.25663383463987,51.04013148928196,40963,16.599753286610625,84
Region_38,1007,59.320249339407205,48.68762978311473,70124,11.600108748986646,3639
Region_39,736,61.78458730324999,72.78618362808282,72870,15.38102430835101,2720
Region_40,1007,81.68792818600886,82.40079426247007,76547,27.211602748073016,3415
Region_41,612,95.3933065231258,76.21587348383306,84110,25.60817229698173,638
Region_42,1317,65.80982911482474,79.60468168802717,73554,20.750996961999554,3268
Region_43,881,79.41533378975284,60.23992145425999,40936,26.45300985627759,3188
Region_44,1204,84.14910317085662,72.7037897685999,24426,24.59430972543123,953
Region_45,696,72.59743006495196,57.711812022238725,108839,15.724623296022262,4136
Region_46,70,85.6891227427663,66.275231098432,47606,10.026628801248627,2219
Region_47,890,94.98337226460865,64.08174232674313,67832,17.85502600023348,389
Region_48,216,81.20507720909188,48.84435725719272,48151,23.40572206321375,4320
Region_49,1347,76.98905309573165,59.35393801678154,99303,15.910489968239826,1764
Region_50,437,71.93723376941695,88.19111377411755,31308,21.66929774459743,4742
Region_51,650,78.87431354530628,52.429012885747106,82522,7.35818565727609,4596
Region_52,365,67.7681225909198,46.690186813974435,65671,23.700118409285086,606
Region_53,63,69.5741055100751,60.92903108119677,110306,25.31784049732655,3137
Region_54,291,76.5928739844087,79.51688679300742,114108,22.67094639451353,3316
Region_55,826,53.330955619540845,69.10741148899862,22204,29.18158968815914,3617
Region_56,1419,61.451269546239814,74.04874136191222,112769,25.66630143651601,2106
Region_57,614,77.14246553067045,49.48474240873386,107265,27.577343196913457,3949
Region_58,947,71.57640715682213,70.94740965038608,51131,28.3392770864412,1066
Region_59,1413,66.64078929562422,56.17501974557369,72428,25.033699796845212,2112
Region_60,141,86.52745684046508,81.71516829773837,53870,21.856471050162476,888
Region_61,1440,84.68588037016693,71.46494030053681,69067,5.1429645340197325,1687
Region_62,1005,58.33653799966916,49.942813888764796,78585,16.645643830578116,4371
Region_63,558,93.93145576867191,43.23083399220431,41607,19.279057465559028,3546
Region_64,825,74.77118132019828,42.13166046435164,44968,12.60075681119999,1863
Region_65,84,87.07304555695228,58.57042838250703,118934,12.952611172586803,3529
Region_66,255,78.65754246286943,53.292556832715675,31908,29.02898539275413,1501
Region_67,1154,99.88463079619217,72.3045061731254,46423,27.292771630068646,2363
Region_68,1461,87.62015600194113,64.96669174893091,94707,26.229475137542604,1564
Region_69,1075,85.34902306217296,53.30096390026904,98257,15.150295042652765,1281
Region_70,1071,88.92859695253756,47.46188889750881,81215,5.342463760222864,1695
Region_71,1463,57.15639927742348,46.35998813437248,75835,7.005556161392851,3049
Region_72,615,60.22722965847316,83.23301960702088,69429,12.804909205440092,3490
Region_73,1179,85.70320411118071,52.17389842024336,102152,5.393572824891924,4106
Region_74,752,74.69907435654314,72.58553239554843,58458,5.428744547879953,355
Region_75,451,87.73176459300583,80.53429639931332,66169,27.915082541060276,3586
Region_76,779,55.14580153720725,70.7040655592368,27659,22.653962552976353,1773
Region_77,211,76.82406757422973,82.97826158234729,80614,12.723899751703817,1739
Region_78,251,68.94107827784579,59.619686076423726,97240,8.31611444002383,1567
Region_79,1045,72.85001096408392,87.81110953244742,52793,17.79089294737693,3967
Region_80,319,80.19789360362563,46.65725020890485,66473,5.133654021359112,469
Region_81,865,75.11441737312651,45.107476482876905,116762,28.4603435964536,2986
Region_82,1344,76.99303185564183,72.93460731037217,109388,15.37037798472368,3912
Region_83,505,74.3178740997804,87.14155707066308,117618,15.058373880933319,4279
Region_84,1325,70.44775885427467,80.4441730818164,108330,14.764840189544554,1500
Region_85,1066,88.59409902991226,43.82084297190257,75751,6.733208259694119,3146
Region_86,345,50.61015361590223,53.96838569673582,98915,20.958055994795664,3311
Region_87,769,79.92213506026135,86.51594424189119,74254,23.325090490708835,1214
Region_88,387,78.27541736614869,52.652921640039224,27006,21.903134939707257,1919
Region_89,928,85.80895373664761,79.05852118934595,94218,8.460887333234858,1869
Region_90,1126,79.95146823886633,81.25660979643519,85344,19.471004200889816,2755
Region_91,841,91.33994139045392,64.77260517304909,53840,19.237112104306348,3565
Region_92,266,97.95373972820138,59.31744549241577,52430,26.71026969853455,1392
Region_93,813,67.12621285892718,62.506221620987986,43091,14.478191459391175,2276
Region_94,237,61.36754915149935,51.34823471826821,52983,14.287148591485856,1129
Region_95,429,71.17984312102415,84.46954580644221,43989,20.46317646795464,4256
Region_96,542,64.3964808237863,62.530982836487894,95451,20.826816337487827,4613
Region_97,1114,80.74751315763272,84.12297202280499,38990,16.73213068314476,2829
Region_98,1230,95.59262044214825,45.2846739953137,110270,16.076484058260526,2578
Region_99,64,56.955809707153094,89.41376355000656,100360,17.35369176594707,863
Region_100,114,55.03973015079433,62.163654372180915,56081,26.526132487582796,2081
Region_101,570,62.80077659268311,42.39154101970527,31033,16.52917253134775,372
Region_102,1417,86.30477930312003,41.901092411872746,36241,28.49829479924556,3019
Region_103,1202,79.64814526294109,77.31036287409194,25939,17.60009408990815,953
Region_104,697,55.11063321125998,72.95177671018405,67562,28.730017329522283,1591
Region_105,1136,95.93752611303732,80.10652790637937,55063,25.820797546726894,3553
Region_106,1212,89.50423185620434,45.2683766976403,96721,14.060783065395729,2703
Region_107,642,51.15113023938188,41.778543351777415,47045,26.5910355324154,2526
Region_108,441,82.5683605494123,65.42896447237892,64769,7.751582105027881,3390
Region_109,468,88.5623334259869,59.37976157413848,67118,28.126179383575362,4293
Region_110,338,68.7217684860211,63.09734683354779,104703,20.791087877072293,1191
Region_111,428,53.44607696836094,89.5794204435137,41625,6.35976871305778,899
Region_112,280,53.866053274439366,88.53749788353352,47076,21.10641809127029,416
Region_113,1067,55.21234830259048,87.11576948365965,84805,29.356191353618904,2947
Region_114,90,92.02198159902115,79.19213383838368,64605,6.745016365365723,1139
Region_115,1101,95.53430991278566,57.74206801284452,104565,18.867192744502155,4091
Region_116,184,56.14053909228669,60.60654651313858,108509,23.694858743984312,2088
Region_117,250,61.79530172975406,67.48080218594623,59121,25.256464667488284,2910
Region_118,829,58.27602551836449,81.52672282024199,85101,15.345686633019897,4320
Region_119,979,59.316043974706034,43.43564162591339,51433,10.104163979206074,1904
Region_120,1106,91.8745394501246,61.21484429424441,63309,6.0585569693095955,4733
Region_121,1121,66.60732063274695,44.130883172963436,87468,19.49315392743062,544
Region_122,552,65.57221320228206,65.73287932867558,64254,16.32277675669027,3232
Region_123,456,61.36978104385563,84.94504120031178,87293,28.718609878742775,1834
Region_124,854,80.39471968971293,79.1242462281969,116258,6.515122692872745,3560
Region_125,148,68.96528491927744,51.3921208771555,57853,22.134883586150142,3836
Region_126,733,87.21248259216443,88.79954247993962,58405,5.6241555530014296,4180
Region_127,775,60.27899041878187,73.36751990232142,86652,9.285854417763568,1048
Region_128,1010,89.38949443572463,40.521384969870155,63527,16.339474998070855,4519
Region_129,662,80.18607658650694,52.77067423426098,97227,16.371811070071708,1501
Region_130,692,55.713365002784386,53.03566499599583,20492,22.1425135733411,1801
Region_131,1078,70.72522921018138,43.462715314293,113418,27.755325871693916,2330
Region_132,1291,93.17590703064785,87.99132590379645,28811,20.97580397287302,4850
Region_133,552,96.14801158992424,63.91276472879619,113344,28.83837744628772,4708
Region_134,816,73.28500611594066,84.7907298685941,44272,27.04039099694994,2984
Region_135,447,74.04184890445367,56.11077517223141,113935,19.612494888269758,3784
Region_136,920,95.92273624696506,46.26167852164136,92010,25.844798772970684,3396
Region_137,844,79.35341120682835,63.716805495310695,112492,21.06444025809085,1923
Region_138,442,51.642333512171916,45.69783173571586,67153,6.963945773093179,4584
Region_139,256,95.63747314395644,64.300775148877,74110,23.514118081487748,3853
Region_140,1088,62.411322137857596,86.0148590609704,33979,7.3727110316836555,2029
Region_141,941,78.88159770457736,66.03840709171064,48328,19.85206951424281,748
Region_142,913,58.27566587139869,70.82498634475417,32867,22.566005146455723,1362
Region_143,792,51.69395801232975,47.83192184869041,79234,6.6631902052713805,3012
Region_144,1314,65.57365855663787,42.18678129399847,45851,10.769866348163294,2988
Region_145,613,89.02478537730438,45.54039810899035,51279,27.891805806541246,4837
Region_146,1070,63.87935863147091,69.92657878421828,116063,20.40786230582241,2350
Region_147,145,61.00486070405485,44.75058494961523,93402,11.15715047026329,3247
Region_148,534,60.634039217061314,58.79964449706557,35449,22.266994278700164,176
Region_149,1480,75.75868412034063,67.5045970229078,96221,19.91941049904224,1241
Region_150,280,98.77706578413782,59.432639931492346,109080,17.53939249794871,2689
Region_151,798,72.94944940085065,48.18419007326507,25451,29.404674374702093,4439
Region_152,1244,77.86526844450239,53.68956537570533,107178,22.086344435187723,3966
Region_153,590,93.0316008945367,86.41587664242886,61316,14.386027741697816,1416
Region_154,1109,76.75348594668293,73.79911377931776,83064,25.0018358019217,1069
Region_155,574,59.2231435709428,64.80239193399433,83761,27.114582323029694,4129
Region_156,1233,64.97979558832385,40.635744499344675,58870,8.130513987920786,4564
Region_157,1316,65.49684631343055,89.6207700244735,116566,10.013824446131661,4589
Region_158,1159,69.8659057728799,73.57274674473217,50873,10.405675228194493,734
Region_159,627,71.33944526683747,55.84612386724724,78627,22.28029523466351,3679
